Modality,Word,Instrument,POS
Auditory,skriech,no,Noun
Auditory,snarl,no,Noun
Auditory,song,no,Noun
Auditory,sonority,no,Noun
Auditory,sound,no,Noun
Auditory,soundlessness,no,Noun
Auditory,splash,no,Noun
Auditory,squawk,no,Noun
Auditory,squeak,no,Noun
Auditory,squelch,no,Noun
Auditory,symphony,no,Noun
Auditory,tambour,yes,Noun
Auditory,thrum,no,Noun
Auditory,thud,no,Noun
Auditory,thunder,no,Noun
Auditory,tick,no,Noun
Auditory,ticking,no,Noun
Auditory,ting,no,Noun
Auditory,tinkle,no,Noun
Auditory,tootle,no,Noun
Auditory,trumpet,yes,Noun
Auditory,tune,no,Noun
Auditory,twang,no,Noun
Auditory,viola,yes,Noun
Auditory,violin,yes,Noun
Auditory,voice,no,Noun
Auditory,warble,no,Noun
Auditory,whir,no,Noun
Auditory,whirr,no,Noun
Auditory,whisper,no,Noun
Auditory,whistle,no,Noun
Auditory,whiz,no,Noun
Auditory,whizz,no,Noun
Auditory,xylophone,yes,Noun
Auditory,babble,no,Verb
Auditory,bang,no,Verb
Auditory,birr,no,Verb
Auditory,blare,no,Verb
Auditory,bleep,no,Verb
Auditory,brattle,no,Verb
Auditory,burble,no,Verb
Auditory,buzz,no,Verb
Auditory,chatter,no,Verb
Auditory,chime,no,Verb
Auditory,chug,no,Verb
Auditory,clang,no,Verb
Auditory,clank,no,Verb
Auditory,clap,no,Verb
Auditory,clash,no,Verb
Auditory,clink,no,Verb
Auditory,clitter,no,Verb
Auditory,clop,no,Verb
Auditory,clump,no,Verb
Auditory,clunk,no,Verb
Auditory,crack,no,Verb
Auditory,crackle,no,Verb
Auditory,creak,no,Verb
Auditory,crepitate,no,Verb
Auditory,crunch,no,Verb
Auditory,ding,no,Verb
Auditory,dingdong,no,Verb
Auditory,dong,no,Verb
Auditory,drone,no,Verb
Auditory,eavesdrop,no,Verb
Auditory,glug,no,Verb
Auditory,grumble,no,Verb
Auditory,grunt,no,Verb
Auditory,guggle,no,Verb
Auditory,hear,no,Verb
Auditory,hearken,no,Verb
Auditory,honk,no,Verb
Auditory,howl,no,Verb
Auditory,hum,no,Verb
Auditory,jangle,no,Verb
Auditory,jingle,no,Verb
Auditory,listen,no,Verb
Auditory,meow,no,Verb
Auditory,moo,no,Verb
Auditory,overhear,no,Verb
Auditory,patter,no,Verb
Auditory,peal,no,Verb
Auditory,ping,no,Verb
Auditory,plunk,no,Verb
Auditory,purl,no,Verb
Auditory,purr,no,Verb
Auditory,rattle,no,Verb
Auditory,resonate,no,Verb
Auditory,resound,no,Verb
Auditory,ring,no,Verb
Auditory,ripple,no,Verb
Auditory,roar,no,Verb
Auditory,rumble,no,Verb
Auditory,rustle,no,Verb
Auditory,screak,no,Verb
Auditory,scream,no,Verb
Auditory,screech,no,Verb
Auditory,sing,no,Verb
Auditory,skriech,no,Verb
Auditory,speak,no,Verb
Auditory,splash,no,Verb
Auditory,squawk,no,Verb
Auditory,squeak,no,Verb
Auditory,squelch,no,Verb
Auditory,stridulate,no,Verb
Auditory,talk,no,Verb
Auditory,thrum,no,Verb
Auditory,thud,no,Verb
Auditory,tick,no,Verb
Auditory,ting,no,Verb
Auditory,tinkle,no,Verb
Auditory,tootle,no,Verb
Auditory,twang,no,Verb
Auditory,whir,no,Verb
Auditory,whirr,no,Verb
Auditory,whiz,no,Verb
Auditory,whizz,no,Verb
Auditory,acoustic,no,Adj
Auditory,audible,no,Adj
Auditory,bombastic,no,Adj
Auditory,clarion,no,Adj
Auditory,deaf,no,Adj
Auditory,deafening,no,Adj
Auditory,dumb,no,Adj
Auditory,guttural,no,Adj
Auditory,harmonic,no,Adj
Auditory,harmonious,no,Adj
Auditory,hoarse,no,Adj
Auditory,imperceptible,no,Adj
Auditory,loud,no,Adj
Auditory,melodic,no,Adj
Auditory,melodious,no,Adj
Auditory,noiseless,no,Adj
Auditory,noisy,no,Adj
Auditory,querulous,no,Adj
Auditory,resonant,no,Adj
Auditory,ringing,no,Adj
Auditory,silent,no,Adj
Auditory,sonorous,no,Adj
Auditory,soundless,no,Adj
Auditory,squeaky,no,Adj
Auditory,stifled,no,Adj
Auditory,strident,no,Adj
Auditory,tactic,no,Adj
