Word,Sense_count
agnostic,2
agnostical,1
ago,1
agog,1
agonadal,1
agonal,1
agone,1
agonised,1
agonising,1
agonistic,3
agonistical,1
agonized,1
agonizing,1
agoraphobic,1
agranulocytic,1
agraphic,1
agrarian,1
agreeable,3
agreed,1
agreed_upon,1
agrestic,2
agricultural,2
agrobiologic,1
agrobiological,1
agrologic,1
agrological,1
agronomic,1
agronomical,1
aground,1
agrypnotic,1
aguish,1
ahead,1
ahistorical,1
ahorse,1
ahorseback,1
aided,1
ailing,1
aimless,2
ain,1
air-breathing,1
air-conditioned,1
air-cooled,1
air-dried,1
air-dry,1
air-filled,1
air-tight,2
air-to-air,1
air-to-ground,1
air-to-surface,1
air_sick,1
airborne,1
aired,1
airheaded,1
airless,1
airlike,1
airsick,1
airtight,2
airworthy,1
airy,4
ajar,1
akimbo,1
akin,2
al_dente,1
alabaster,1
alabastrine,1
alacritous,1
alar,2
alarmed,1
alarming,1
alary,1
alaskan,1
alate,1
alated,1
albanian,1
albescent,1
albigensian,1
albinal,1
albinic,1
albinistic,1
albinotic,1
albitic,1
albuminous,1
albuminuric,1
alcalescent,1
alchemic,1
alchemical,1
alchemistic,1
alchemistical,1
alcohol-dependent,1
alcohol-soluble,1
alcoholic,2
aldehydic,1
aldermanic,1
aldermanly,1
aleatory,1
alert,3
aleuronic,1
aleutian,1
alexandrian,1
alexic,1
alfresco,1
algal,1
algebraic,1
algebraical,1
algerian,1
algid,1
algoid,1
algolagnic,1
algometric,1
algometrical,1
algonkian,1
algonquian,1
algonquin,1
algophobic,1
algorithmic,1
alien,2
alienable,1
alienated,2
alienating,1
aliform,1
alight,1
aligned,2
aligning,1
alike,1
alimental,1
alimentary,1
alimentative,1
aliphatic,1
aliquot,1
alive,7
alkahestic,1
alkalescent,1
alkalic,1
alkaline,1
alkaline-loving,1
alkaloidal,1
alkalotic,1
alkylic,1
all,2
all-around,1
all-devouring,1
all-embracing,1
all-encompassing,1
all-fired,1
all-important,1
all-inclusive,1
all-knowing,1
all-mains,1
all-metal,1
all-night,1
all-or-none,1
all-or-nothing,1
all-out,1
all-powerful,1
all-purpose,1
all-round,1
all-time,1
all-victorious,1
all-weather,1
all_important,1
all_in,1
all_over,1
all_right,1
allantoic,1
allantoid,1
allargando,1
alleged,2
allegiant,1
allegoric,1
allegorical,1
allegretto,1
allegro,1
allelic,1
allelomorphic,1
allergenic,1
allergic,2
alleviated,1
alleviative,1
alleviatory,1
alliaceous,2
allied,5
alligatored,1
alliterative,1
allocable,1
allocatable,1
allochronic,1
allochthonous,1
allogamous,1
allogeneic,1
allographic,1
allomerous,1
allometric,1
allomorphic,1
allopathic,1
allopatric,1
allophonic,1
allotropic,1
allotropical,1
allotted,1
allover,1
allowable,3
alloyed,2
alluring,1
allusive,1
alluvial,1
allylic,1
almighty,1
almond-eyed,1
almond-scented,1
almond-shaped,1
alone,4
aloof,1
alopecic,1
alpestrine,1
alpha,2
alphabetic,2
alphabetical,2
alphabetised,1
alphabetized,1
alphameric,1
alphamerical,1
alphanumeric,1
alphanumerical,1
alpine,3
alright,1
alsatian,1
altaic,1
alterable,2
alterative,1
altered,3
alternate,4
alternating,2
alternative,3
altissimo,1
altitudinal,1
altitudinous,1
alto,3
altricial,1
altruistic,1
alular,1
aluminiferous,1
aluminous,1
alveolar,2
alveolate,1
alvine,1
amalgamate,1
amalgamated,1
amalgamative,1
amaranthine,2
amateur,2
amateurish,1
amative,1
amatory,1
amaurotic,1
amazed,1
amazing,2
ambagious,1
ambassadorial,1
amber,1
amber-green,1
ambidextrous,2
ambient,1
ambiguous,3
ambitionless,1
ambitious,2
ambivalent,1
ambiversive,1
amblyopic,1
ambrosial,2
ambrosian,3
ambulacral,1
ambulant,1
ambulatory,2
ameban,1
amebic,1
ameboid,1
amebous,1
ameliorating,1
ameliorative,1
amelioratory,1
amenable,4
amendable,1
amendatory,1
amended,2
amenorrheal,1
amenorrheic,1
amenorrhoeal,1
amenorrhoeic,1
amentaceous,1
amentiferous,1
amerciable,1
american,2
amerind,1
amerindic,1
ametabolic,2
ametabolous,1
amethyst,1
amethystine,1
ametropic,1
amharic,1
amiable,2
amicable,1
amidship,1
aminic,1
amino,1
amiss,1
amitotic,1
